# ---------------------------------- WARNING ----------------------------------------,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,
# may not have received Director's approval. Any such data values are qualified,,,
# as provisional and are subject to revision. Provisional data are released on the,,,
# condition that neither the USGS nor the United States Government may be held liable,,,
# for any damages resulting from its use.,,,
#,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,
#,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,
#,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,
# retrieved: 2018-09-26 15:59:55 EDT       (sdww02),,,
#,,,
# Data for the following 1 site(s) are contained in this file,,,
"#    USGS 08066500 Trinity Rv at Romayor, TX",,,
# -----------------------------------------------------------------------------------,,,
#,,,
# Data provided for site 08066500,,,
#            TS   parameter     statistic     Description,,,
"#        133980       00060     00003     Discharge, cubic feet per second (Mean)",,,
"#        173616       00060     00001     Discharge, cubic feet per second (Maximum)",,,
"#        173617       00060     00002     Discharge, cubic feet per second (Minimum)",,,
#,,,
# Data-value qualification codes included in this output:,,,
#        ,,,
#     A  Approved for publication -- Processing and review completed.,,,
#     P  Provisional data subject to revision.,,,
#     e  Value has been estimated.,,,
# ,,,
agency_cd,site_no,datetime,133980_00060_00003
USGS,8066500,5/13/1925,6530
USGS,8066500,5/14/1925,2540
USGS,8066500,5/15/1925,5630
USGS,8066500,5/16/1925,7510
USGS,8066500,5/17/1925,8820
USGS,8066500,5/18/1925,9300
USGS,8066500,5/19/1925,9540
USGS,8066500,5/20/1925,9900
USGS,8066500,5/21/1925,10000
USGS,8066500,5/22/1925,10600
USGS,8066500,5/23/1925,11100
USGS,8066500,5/24/1925,11700
USGS,8066500,5/25/1925,11600
USGS,8066500,5/26/1925,10300
USGS,8066500,5/27/1925,7410
USGS,8066500,5/28/1925,4110
USGS,8066500,5/29/1925,2300
USGS,8066500,5/30/1925,1740
USGS,8066500,5/31/1925,1540
USGS,8066500,6/1/1925,1120
USGS,8066500,6/2/1925,825
USGS,8066500,6/3/1925,720
USGS,8066500,6/4/1925,515
USGS,8066500,6/5/1925,540
USGS,8066500,6/6/1925,515
USGS,8066500,6/7/1925,490
USGS,8066500,6/8/1925,490
USGS,8066500,6/9/1925,490
USGS,8066500,6/10/1925,490
USGS,8066500,6/11/1925,440
USGS,8066500,6/12/1925,415
USGS,8066500,6/13/1925,340
USGS,8066500,6/14/1925,315
USGS,8066500,6/15/1925,290
USGS,8066500,6/16/1925,290
USGS,8066500,6/17/1925,270
USGS,8066500,6/18/1925,270
USGS,8066500,6/19/1925,290
USGS,8066500,6/20/1925,440
USGS,8066500,6/21/1925,490
USGS,8066500,6/22/1925,540
USGS,8066500,6/23/1925,515
USGS,8066500,6/24/1925,440
USGS,8066500,6/25/1925,440
USGS,8066500,6/26/1925,440
USGS,8066500,6/27/1925,340
USGS,8066500,6/28/1925,315
USGS,8066500,6/29/1925,290
USGS,8066500,6/30/1925,290
USGS,8066500,7/1/1925,270
USGS,8066500,7/2/1925,270
USGS,8066500,7/3/1925,270
USGS,8066500,7/4/1925,250
USGS,8066500,7/5/1925,210
USGS,8066500,7/6/1925,210
USGS,8066500,7/7/1925,210
USGS,8066500,7/8/1925,270
USGS,8066500,7/9/1925,315
USGS,8066500,7/10/1925,290
USGS,8066500,7/11/1925,290
USGS,8066500,7/12/1925,250
USGS,8066500,7/13/1925,220
USGS,8066500,7/14/1925,200
USGS,8066500,7/15/1925,170
USGS,8066500,7/16/1925,190
USGS,8066500,7/17/1925,315
USGS,8066500,7/18/1925,270
USGS,8066500,7/19/1925,270
USGS,8066500,7/20/1925,250
USGS,8066500,7/21/1925,220
USGS,8066500,7/22/1925,220
USGS,8066500,7/23/1925,210
USGS,8066500,7/24/1925,190
USGS,8066500,7/25/1925,180
USGS,8066500,7/26/1925,170
USGS,8066500,7/27/1925,162
USGS,8066500,7/28/1925,162
USGS,8066500,7/29/1925,170
USGS,8066500,7/30/1925,162
USGS,8066500,7/31/1925,155
USGS,8066500,8/1/1925,148
USGS,8066500,8/2/1925,155
USGS,8066500,8/3/1925,155
USGS,8066500,8/4/1925,155
USGS,8066500,8/5/1925,140
USGS,8066500,8/6/1925,140
USGS,8066500,8/7/1925,140
USGS,8066500,8/8/1925,140
USGS,8066500,8/9/1925,140
USGS,8066500,8/10/1925,140
USGS,8066500,8/11/1925,140
USGS,8066500,8/12/1925,162
USGS,8066500,8/13/1925,270
USGS,8066500,8/14/1925,230
USGS,8066500,8/15/1925,155
USGS,8066500,8/16/1925,140
USGS,8066500,8/17/1925,148
USGS,8066500,8/18/1925,140
USGS,8066500,8/19/1925,140
USGS,8066500,8/20/1925,140
USGS,8066500,8/21/1925,132
USGS,8066500,8/22/1925,132
USGS,8066500,8/23/1925,162
USGS,8066500,8/24/1925,200
USGS,8066500,8/25/1925,190
USGS,8066500,8/26/1925,170
USGS,8066500,8/27/1925,155
USGS,8066500,8/28/1925,180
USGS,8066500,8/29/1925,190
USGS,8066500,8/30/1925,180
USGS,8066500,8/31/1925,155
USGS,8066500,9/1/1925,155
USGS,8066500,9/2/1925,155
USGS,8066500,9/3/1925,148
USGS,8066500,9/4/1925,148
USGS,8066500,9/5/1925,140
USGS,8066500,9/6/1925,140
USGS,8066500,9/7/1925,140
USGS,8066500,9/8/1925,140
USGS,8066500,9/9/1925,140
USGS,8066500,9/10/1925,148
USGS,8066500,9/11/1925,148
USGS,8066500,9/12/1925,148
USGS,8066500,9/13/1925,148
USGS,8066500,9/14/1925,148
USGS,8066500,9/15/1925,155
USGS,8066500,9/16/1925,155
USGS,8066500,9/17/1925,155
USGS,8066500,9/18/1925,155
USGS,8066500,9/19/1925,155
USGS,8066500,9/20/1925,155
USGS,8066500,9/21/1925,240
USGS,8066500,9/22/1925,415
USGS,8066500,9/23/1925,415
USGS,8066500,9/24/1925,365
USGS,8066500,9/25/1925,340
USGS,8066500,9/26/1925,340
USGS,8066500,9/27/1925,390
USGS,8066500,9/28/1925,250
USGS,8066500,9/29/1925,210
USGS,8066500,9/30/1925,210
USGS,8066500,10/1/1925,200
USGS,8066500,10/2/1925,230
USGS,8066500,10/3/1925,250
USGS,8066500,10/4/1925,250
USGS,8066500,10/5/1925,250
USGS,8066500,10/6/1925,250
USGS,8066500,10/7/1925,270
USGS,8066500,10/8/1925,250
USGS,8066500,10/9/1925,250
USGS,8066500,10/10/1925,240
USGS,8066500,10/11/1925,220
USGS,8066500,10/12/1925,210
USGS,8066500,10/13/1925,270
USGS,8066500,10/14/1925,515
USGS,8066500,10/15/1925,1400
USGS,8066500,10/16/1925,6600
USGS,8066500,10/17/1925,14600
USGS,8066500,10/18/1925,17100
USGS,8066500,10/19/1925,14200
USGS,8066500,10/20/1925,10400
USGS,8066500,10/21/1925,7940
USGS,8066500,10/22/1925,6810
USGS,8066500,10/23/1925,5180
USGS,8066500,10/24/1925,5720
USGS,8066500,10/25/1925,7400
USGS,8066500,10/26/1925,16600
USGS,8066500,10/27/1925,14900
USGS,8066500,10/28/1925,10400
USGS,8066500,10/29/1925,11500
USGS,8066500,10/30/1925,14200
USGS,8066500,10/31/1925,15500
USGS,8066500,11/1/1925,9140
USGS,8066500,11/2/1925,6260
USGS,8066500,11/3/1925,4190
USGS,8066500,11/4/1925,3230
USGS,8066500,11/5/1925,8200
USGS,8066500,11/6/1925,31300
USGS,8066500,11/7/1925,39400
USGS,8066500,11/8/1925,44000
USGS,8066500,11/9/1925,45600
USGS,8066500,11/10/1925,43700
USGS,8066500,11/11/1925,41800
USGS,8066500,11/12/1925,40900
USGS,8066500,11/13/1925,36700
USGS,8066500,11/14/1925,30100
USGS,8066500,11/15/1925,23800
USGS,8066500,11/16/1925,16800
USGS,8066500,11/17/1925,12700
USGS,8066500,11/18/1925,11100
USGS,8066500,11/19/1925,15800
USGS,8066500,11/20/1925,14800
USGS,8066500,11/21/1925,8710
USGS,8066500,11/22/1925,7610
USGS,8066500,11/23/1925,6170
USGS,8066500,11/24/1925,4910
USGS,8066500,11/25/1925,3020
USGS,8066500,11/26/1925,2240
USGS,8066500,11/27/1925,1840
USGS,8066500,11/28/1925,1840
USGS,8066500,11/29/1925,1740
USGS,8066500,11/30/1925,1440
USGS,8066500,12/1/1925,1390
USGS,8066500,12/2/1925,1340
USGS,8066500,12/3/1925,1340
USGS,8066500,12/4/1925,1250
USGS,8066500,12/5/1925,1200
USGS,8066500,12/6/1925,1160
USGS,8066500,12/7/1925,1120
USGS,8066500,12/8/1925,1080
USGS,8066500,12/9/1925,1000
USGS,8066500,12/10/1925,930
USGS,8066500,12/11/1925,930
USGS,8066500,12/12/1925,860
USGS,8066500,12/13/1925,825
USGS,8066500,12/14/1925,1000
USGS,8066500,12/15/1925,1390
USGS,8066500,12/16/1925,1540
USGS,8066500,12/17/1925,1950
USGS,8066500,12/18/1925,2300
USGS,8066500,12/19/1925,2360
USGS,8066500,12/20/1925,2180
USGS,8066500,12/21/1925,1900
USGS,8066500,12/22/1925,1590
USGS,8066500,12/23/1925,1490
USGS,8066500,12/24/1925,1440
USGS,8066500,12/25/1925,1300
USGS,8066500,12/26/1925,1160
USGS,8066500,12/27/1925,1160
USGS,8066500,12/28/1925,1040
USGS,8066500,12/29/1925,1040
USGS,8066500,12/30/1925,1300
USGS,8066500,12/31/1925,1790
USGS,8066500,1/1/1926,2180
USGS,8066500,1/2/1926,5480
USGS,8066500,1/3/1926,22700
USGS,8066500,1/4/1926,26500
USGS,8066500,1/5/1926,16900
USGS,8066500,1/6/1926,10500
USGS,8066500,1/7/1926,9300
USGS,8066500,1/8/1926,7830
USGS,8066500,1/9/1926,6620
USGS,8066500,1/10/1926,5900
USGS,8066500,1/11/1926,4110
USGS,8066500,1/12/1926,2300
USGS,8066500,1/13/1926,1640
USGS,8066500,1/14/1926,1540
USGS,8066500,1/15/1926,1490
USGS,8066500,1/16/1926,1440
USGS,8066500,1/17/1926,4750
USGS,8066500,1/18/1926,11000
USGS,8066500,1/19/1926,11200
USGS,8066500,1/20/1926,9300
USGS,8066500,1/21/1926,9660
USGS,8066500,1/22/1926,11600
USGS,8066500,1/23/1926,14100
USGS,8066500,1/24/1926,15700
USGS,8066500,1/25/1926,17100
USGS,8066500,1/26/1926,17400
USGS,8066500,1/27/1926,17200
USGS,8066500,1/28/1926,16500
USGS,8066500,1/29/1926,15900
USGS,8066500,1/30/1926,15500
USGS,8066500,1/31/1926,14800
USGS,8066500,2/1/1926,12800
USGS,8066500,2/2/1926,10500
USGS,8066500,2/3/1926,7110
USGS,8066500,2/4/1926,4830
USGS,8066500,2/5/1926,4430
USGS,8066500,2/6/1926,3090
USGS,8066500,2/7/1926,2670
USGS,8066500,2/8/1926,2420
USGS,8066500,2/9/1926,2300
USGS,8066500,2/10/1926,2120
USGS,8066500,2/11/1926,2000
USGS,8066500,2/12/1926,1950
USGS,8066500,2/13/1926,1690
USGS,8066500,2/14/1926,1590
USGS,8066500,2/15/1926,1490
USGS,8066500,2/16/1926,1300
USGS,8066500,2/17/1926,1300
USGS,8066500,2/18/1926,1300
USGS,8066500,2/19/1926,1300
USGS,8066500,2/20/1926,1250
USGS,8066500,2/21/1926,1200
USGS,8066500,2/22/1926,1160
USGS,8066500,2/23/1926,1160
USGS,8066500,2/24/1926,1120
USGS,8066500,2/25/1926,1120
USGS,8066500,2/26/1926,1080
USGS,8066500,2/27/1926,1080
USGS,8066500,2/28/1926,1040
USGS,8066500,3/1/1926,1000
USGS,8066500,3/2/1926,965
USGS,8066500,3/3/1926,965
USGS,8066500,3/4/1926,930
USGS,8066500,3/5/1926,965
USGS,8066500,3/6/1926,1640
USGS,8066500,3/7/1926,5090
USGS,8066500,3/8/1926,7720
USGS,8066500,3/9/1926,6710
USGS,8066500,3/10/1926,8160
USGS,8066500,3/11/1926,19600
USGS,8066500,3/12/1926,21800
USGS,8066500,3/13/1926,20200
USGS,8066500,3/14/1926,18800
USGS,8066500,3/15/1926,17000
USGS,8066500,3/16/1926,14700
USGS,8066500,3/17/1926,14600
USGS,8066500,3/18/1926,17000
USGS,8066500,3/19/1926,20000
USGS,8066500,3/20/1926,18400
USGS,8066500,3/21/1926,16400
USGS,8066500,3/22/1926,14100
USGS,8066500,3/23/1926,16500
USGS,8066500,3/24/1926,23800
USGS,8066500,3/25/1926,36100
USGS,8066500,3/26/1926,37600
USGS,8066500,3/27/1926,33600
USGS,8066500,3/28/1926,29600
USGS,8066500,3/29/1926,25400
USGS,8066500,3/30/1926,22600
USGS,8066500,3/31/1926,23800
USGS,8066500,4/1/1926,26300
USGS,8066500,4/2/1926,27500
USGS,8066500,4/3/1926,29400
USGS,8066500,4/4/1926,27500
USGS,8066500,4/5/1926,25000
USGS,8066500,4/6/1926,22200
USGS,8066500,4/7/1926,21000
USGS,8066500,4/8/1926,19500
USGS,8066500,4/9/1926,17800
USGS,8066500,4/10/1926,15700
USGS,8066500,4/11/1926,17100
USGS,8066500,4/12/1926,12900
USGS,8066500,4/13/1926,9780
USGS,8066500,4/14/1926,8160
USGS,8066500,4/15/1926,7010
USGS,8066500,4/16/1926,6710
USGS,8066500,4/17/1926,8050
USGS,8066500,4/18/1926,10500
USGS,8066500,4/19/1926,10700
USGS,8066500,4/20/1926,10400
USGS,8066500,4/21/1926,9660
USGS,8066500,4/22/1926,17800
USGS,8066500,4/23/1926,35000
USGS,8066500,4/24/1926,43400
USGS,8066500,4/25/1926,45000
USGS,8066500,4/26/1926,46600
USGS,8066500,4/27/1926,46600
USGS,8066500,4/28/1926,44400
USGS,8066500,4/29/1926,39700
USGS,8066500,4/30/1926,33000
USGS,8066500,5/1/1926,26300
USGS,8066500,5/2/1926,21600
USGS,8066500,5/3/1926,20200
USGS,8066500,5/4/1926,22200
USGS,8066500,5/5/1926,25400
USGS,8066500,5/6/1926,28600
USGS,8066500,5/7/1926,32800
USGS,8066500,5/8/1926,30900
USGS,8066500,5/9/1926,27700
USGS,8066500,5/10/1926,20600
USGS,8066500,5/11/1926,13100
USGS,8066500,5/12/1926,8600
USGS,8066500,5/13/1926,7720
USGS,8066500,5/14/1926,9660
USGS,8066500,5/15/1926,10700
USGS,8066500,5/16/1926,11800
USGS,8066500,5/17/1926,13600
USGS,8066500,5/18/1926,14100
USGS,8066500,5/19/1926,14600
USGS,8066500,5/20/1926,14500
USGS,8066500,5/21/1926,12900
USGS,8066500,5/22/1926,11000
USGS,8066500,5/23/1926,9300
USGS,8066500,5/24/1926,9180
USGS,8066500,5/25/1926,10000
USGS,8066500,5/26/1926,10900
USGS,8066500,5/27/1926,11600
USGS,8066500,5/28/1926,12100
USGS,8066500,5/29/1926,12400
USGS,8066500,5/30/1926,12300
USGS,8066500,5/31/1926,10900
USGS,8066500,6/1/1926,8270
USGS,8066500,6/2/1926,5900
USGS,8066500,6/3/1926,4350
USGS,8066500,6/4/1926,4030
USGS,8066500,6/5/1926,3510
USGS,8066500,6/6/1926,2420
USGS,8066500,6/7/1926,3950
USGS,8066500,6/8/1926,6910
USGS,8066500,6/9/1926,8380
USGS,8066500,6/10/1926,9300
USGS,8066500,6/11/1926,9660
USGS,8066500,6/12/1926,10700
USGS,8066500,6/13/1926,10300
USGS,8066500,6/14/1926,10300
USGS,8066500,6/15/1926,9660
USGS,8066500,6/16/1926,7720
USGS,8066500,6/17/1926,5180
USGS,8066500,6/18/1926,3160
USGS,8066500,6/19/1926,2180
USGS,8066500,6/20/1926,1790
USGS,8066500,6/21/1926,1740
USGS,8066500,6/22/1926,4430
USGS,8066500,6/23/1926,10500
USGS,8066500,6/24/1926,13600
USGS,8066500,6/25/1926,8270
USGS,8066500,6/26/1926,6170
USGS,8066500,6/27/1926,6170
USGS,8066500,6/28/1926,6170
USGS,8066500,6/29/1926,6350
USGS,8066500,6/30/1926,6170
USGS,8066500,7/1/1926,5450
USGS,8066500,7/2/1926,5630
USGS,8066500,7/3/1926,5810
USGS,8066500,7/4/1926,6350
USGS,8066500,7/5/1926,5810
USGS,8066500,7/6/1926,5000
USGS,8066500,7/7/1926,4430
USGS,8066500,7/8/1926,4110
USGS,8066500,7/9/1926,3510
USGS,8066500,7/10/1926,2240
USGS,8066500,7/11/1926,2060
USGS,8066500,7/12/1926,1840
USGS,8066500,7/13/1926,1690
USGS,8066500,7/14/1926,2420
USGS,8066500,7/15/1926,5270
USGS,8066500,7/16/1926,6810
USGS,8066500,7/17/1926,8940
USGS,8066500,7/18/1926,9420
USGS,8066500,7/19/1926,10300
USGS,8066500,7/20/1926,10600
USGS,8066500,7/21/1926,11300
USGS,8066500,7/22/1926,11700
USGS,8066500,7/23/1926,12700
USGS,8066500,7/24/1926,13000
USGS,8066500,7/25/1926,12800
USGS,8066500,7/26/1926,12300
USGS,8066500,7/27/1926,11900
USGS,8066500,7/28/1926,11800
USGS,8066500,7/29/1926,13400
USGS,8066500,7/30/1926,14100
USGS,8066500,7/31/1926,14800
USGS,8066500,8/1/1926,15100
USGS,8066500,8/2/1926,15300
USGS,8066500,8/3/1926,15500
USGS,8066500,8/4/1926,13600
USGS,8066500,8/5/1926,11500
USGS,8066500,8/6/1926,10100
USGS,8066500,8/7/1926,9660
USGS,8066500,8/8/1926,9060
USGS,8066500,8/9/1926,9300
USGS,8066500,8/10/1926,9540
USGS,8066500,8/11/1926,8600
USGS,8066500,8/12/1926,6530
USGS,8066500,8/13/1926,4270
USGS,8066500,8/14/1926,2880
USGS,8066500,8/15/1926,2120
USGS,8066500,8/16/1926,1640
USGS,8066500,8/17/1926,1390
USGS,8066500,8/18/1926,1300
USGS,8066500,8/19/1926,1250
USGS,8066500,8/20/1926,1200
USGS,8066500,8/21/1926,1080
USGS,8066500,8/22/1926,1040
USGS,8066500,8/23/1926,965
USGS,8066500,8/24/1926,965
USGS,8066500,8/25/1926,895
USGS,8066500,8/26/1926,1160
USGS,8066500,8/27/1926,2880
USGS,8066500,8/28/1926,5090
USGS,8066500,8/29/1926,5090
USGS,8066500,8/30/1926,4670
USGS,8066500,8/31/1926,4270
USGS,8066500,9/1/1926,3580
USGS,8066500,9/2/1926,3160
USGS,8066500,9/3/1926,2810
USGS,8066500,9/4/1926,2120
USGS,8066500,9/5/1926,1900
USGS,8066500,9/6/1926,1900
USGS,8066500,9/7/1926,2000
USGS,8066500,9/8/1926,2360
USGS,8066500,9/9/1926,2420
USGS,8066500,9/10/1926,2540
USGS,8066500,9/11/1926,2810
USGS,8066500,9/12/1926,3720
USGS,8066500,9/13/1926,6170
USGS,8066500,9/14/1926,7410
USGS,8066500,9/15/1926,8490
USGS,8066500,9/16/1926,9540
USGS,8066500,9/17/1926,9780
USGS,8066500,9/18/1926,9900
USGS,8066500,9/19/1926,9540
USGS,8066500,9/20/1926,6260
USGS,8066500,9/21/1926,4750
USGS,8066500,9/22/1926,2000
USGS,8066500,9/23/1926,1540
USGS,8066500,9/24/1926,1250
USGS,8066500,9/25/1926,1300
USGS,8066500,9/26/1926,1300
USGS,8066500,9/27/1926,1200
USGS,8066500,9/28/1926,895
USGS,8066500,9/29/1926,720
USGS,8066500,9/30/1926,660
USGS,8066500,10/1/1926,540
USGS,8066500,10/2/1926,540
USGS,8066500,10/3/1926,465
USGS,8066500,10/4/1926,465
USGS,8066500,10/5/1926,465
USGS,8066500,10/6/1926,465
USGS,8066500,10/7/1926,440
USGS,8066500,10/8/1926,440
USGS,8066500,10/9/1926,440
USGS,8066500,10/10/1926,440
USGS,8066500,10/11/1926,440
USGS,8066500,10/12/1926,415
USGS,8066500,10/13/1926,440
USGS,8066500,10/14/1926,440
USGS,8066500,10/15/1926,440
USGS,8066500,10/16/1926,660
USGS,8066500,10/17/1926,1250
USGS,8066500,10/18/1926,2240
USGS,8066500,10/19/1926,2480
USGS,8066500,10/20/1926,3020
USGS,8066500,10/21/1926,2740
USGS,8066500,10/22/1926,2740
USGS,8066500,10/23/1926,2670
USGS,8066500,10/24/1926,2670
USGS,8066500,10/25/1926,2810
USGS,8066500,10/26/1926,3230
USGS,8066500,10/27/1926,3720
USGS,8066500,10/28/1926,4590
USGS,8066500,10/29/1926,5090
USGS,8066500,10/30/1926,5450
USGS,8066500,10/31/1926,4590
USGS,8066500,11/1/1926,3090
USGS,8066500,11/2/1926,2420
USGS,8066500,11/3/1926,2060
USGS,8066500,11/4/1926,2000
USGS,8066500,11/5/1926,2420
USGS,8066500,11/6/1926,2060
USGS,8066500,11/7/1926,2300
USGS,8066500,11/8/1926,2540
USGS,8066500,11/9/1926,2670
USGS,8066500,11/10/1926,2540
USGS,8066500,11/11/1926,2180
USGS,8066500,11/12/1926,2060
USGS,8066500,11/13/1926,2060
USGS,8066500,11/14/1926,1950
USGS,8066500,11/15/1926,1440
USGS,8066500,11/16/1926,1640
USGS,8066500,11/17/1926,2060
USGS,8066500,11/18/1926,2060
USGS,8066500,11/19/1926,1740
USGS,8066500,11/20/1926,1250
USGS,8066500,11/21/1926,1200
USGS,8066500,11/22/1926,1300
USGS,8066500,11/23/1926,1250
USGS,8066500,11/24/1926,1080
USGS,8066500,11/25/1926,1040
USGS,8066500,11/26/1926,1080
USGS,8066500,11/27/1926,1340
USGS,8066500,11/28/1926,1160
USGS,8066500,11/29/1926,1120
USGS,8066500,11/30/1926,1080
USGS,8066500,12/1/1926,930
USGS,8066500,12/2/1926,930
USGS,8066500,12/3/1926,930
USGS,8066500,12/4/1926,930
USGS,8066500,12/5/1926,860
USGS,8066500,12/6/1926,720
USGS,8066500,12/7/1926,790
USGS,8066500,12/8/1926,1340
USGS,8066500,12/9/1926,1950
USGS,8066500,12/10/1926,3680
USGS,8066500,12/11/1926,11800
USGS,8066500,12/12/1926,17700
USGS,8066500,12/13/1926,15700
USGS,8066500,12/14/1926,14300
USGS,8066500,12/15/1926,12900
USGS,8066500,12/16/1926,10600
USGS,8066500,12/17/1926,9420
USGS,8066500,12/18/1926,7940
